Training Error0.0001,Training Error 0.001,Training Error 0.01
919.3012397,831.9513365,2363.03637
919.1925449,831.9362745,2232.090424
919.0840661,831.921273,2362.979482
918.975803,831.906332,2232.084215
918.867755,831.891451,2362.925087
918.7599212,831.87663,2232.076925
918.6523014,831.8618685,2362.873173
918.5448949,831.8471664,2232.072323
918.437701,831.8325233,2362.821309
918.3307192,831.817939,2232.067747
918.2239489,831.8034133,2362.76922
918.1173898,831.7889459,2232.064391
918.0110409,831.7745365,2362.721508
917.9049021,831.7601849,2232.059028
917.7989724,831.7458908,2362.67192
917.6932516,831.731654,2232.055283
917.587739,831.7174742,2362.622626
917.482434,831.7033511,2232.050657
917.377336,831.6892845,2362.574201
917.2724446,831.6752742,2232.042006
917.1677592,831.66132,2362.521371
917.0632793,831.6474215,2232.03648
916.9590041,831.6335785,2362.476243
916.8549334,831.6197908,2232.032168
916.7510664,831.6060582,2362.429223
916.6474027,831.5923804,2232.030176
916.5439417,831.5787571,2362.383337
916.4406828,831.5651881,2232.025944
916.3376256,831.5516732,2362.338723
916.2347695,831.5382122,2232.023878
916.132114,831.5248048,2362.294384
916.0296585,831.5114507,2232.021168
915.9274025,831.4981498,2362.250354
915.8253455,831.4849018,2232.016991
915.723487,831.4717064,2362.206091
915.6218264,831.4585635,2232.013327
915.5203632,831.4454729,2362.162824
915.419097,831.4324342,2232.009415
915.3180271,831.4194473,2362.12044
915.217153,831.4065119,2232.007093
915.1164743,831.3936279,2362.078997
915.0159904,831.380795,2232.003014
914.9157007,831.3680129,2362.035085
914.8156049,831.3552814,2231.998836
914.7157024,831.3426004,2361.994035
914.6159928,831.3299696,2231.995012
914.5164752,831.3173888,2361.951432
914.4171495,831.3048577,2231.991141
914.3180151,831.2923763,2361.912272
914.2190714,831.2799442,2231.990584
914.1203179,831.2675612,2361.873583
914.0217543,831.2552271,2231.989486
913.9233799,831.2429417,2361.834889
913.8251943,831.2307049,2231.985696
913.727197,831.2185163,2361.796385
913.6293875,831.2063758,2231.98403
913.5317654,831.1942832,2361.759737
913.4343299,831.1822382,2231.983379
913.3370809,831.1702407,2361.721651
913.2400177,831.1582904,2231.981118
913.1431399,831.1463873,2361.685965
913.046447,831.1345309,2231.978997
912.9499384,831.1227212,2361.650316
912.8536137,831.110958,2231.97562
912.7574725,831.0992409,2361.611057
912.6615142,831.08757,2231.970042
912.5657384,831.0759449,2361.571602
912.4701446,831.0643654,2231.966953
912.3747324,831.0528314,2361.534444
912.2795012,831.0413427,2231.965847
912.1844506,831.029899,2361.503235
912.0895802,831.0185002,2231.965909
911.9948894,831.0071461,2361.470098
911.9003778,830.9958364,2231.964979
911.8060449,830.9845711,2361.435238
911.7118904,830.9733499,2231.962053
911.6179137,830.9621726,2361.40187
911.5241144,830.951039,2231.96258
911.430492,830.939949,2361.367223
911.3370459,830.9289023,2231.958025
911.2437759,830.9178989,2361.332195
911.1506813,830.9069384,2231.956572
911.0577619,830.8960207,2361.299992
910.9650171,830.8851456,2231.955028
910.8724465,830.874313,2361.267826
910.7800497,830.8635227,2231.953008
910.6878261,830.8527744,2361.235473
910.5957753,830.842068,2231.952666
910.503897,830.8314034,2361.206484
910.4121907,830.8207803,2231.95448
910.3206559,830.8101985,2361.17654
910.2292922,830.799658,2231.952286
910.1380991,830.7891585,2361.146039
910.0470763,830.7786998,2231.952537
909.9562233,830.7682818,2361.11375
909.8655395,830.7579044,2231.950239
909.7750247,830.7475672,2361.084554
909.6846784,830.7372702,2231.949284
909.5945001,830.7270132,2361.052833
909.5044894,830.716796,2231.945472
909.414646,830.7066184,2361.021385
909.3249694,830.6964804,2231.942865
909.2354591,830.6863816,2360.99379
909.1461147,830.676322,2231.946053
909.0569358,830.6663013,2360.968764
