Training Error 0.00025,Learning Rate
868.3463791,
868.2777097,
868.2092314,
868.1409434,
868.0728449,
868.0049352,
867.9372135,
867.8696789,
867.8023308,
867.7351682,
867.6681906,
867.6013971,
867.5347869,
867.4683593,
867.4021135,
867.3360488,
867.2701645,
867.2044598,
867.1389339,
867.0735862,
867.0084159,
866.9434223,
866.8786046,
866.8139623,
866.7494945,
866.6852005,
866.6210796,
866.5571312,
866.4933545,
866.4297489,
866.3663135,
866.3030479,
866.2399512,
866.1770228,
866.114262,
866.0516682,
865.9892406,
865.9269787,
865.8648817,
865.802949,
865.7411799,
865.6795738,
865.61813,
865.5568479,
865.4957268,
865.4347661,
865.3739652,
865.3133234,
865.2528401,
865.1925147,
865.1323465,
865.072335,
865.0124796,
864.9527795,
864.8932342,
864.8338431,
864.7746055,
864.715521,
864.6565889,
864.5978085,
864.5391793,
864.4807008,
864.4223723,
864.3641932,
864.3061629,
864.2482809,
864.1905467,
864.1329596,
864.0755191,
864.0182245,
863.9610753,
863.9040711,
863.8472112,
863.7904951,
863.7339222,
863.6774919,
863.6212037,
863.5650572,
863.5090517,
863.4531866,
863.3974616,
863.3418759,
863.2864291,
863.2311207,
863.1759501,
863.1209169,
863.0660205,
863.0112603,
862.9566359,
862.9021468,
862.8477924,
862.7935723,
862.7394859,
862.6855328,
862.6317123,
862.5780242,
862.5244677,
862.4710425,
862.4177481,
862.3645839,
862.3115496,
862.2586445,
862.2058682,
862.1532203,
862.1007002,
862.0483076,
861.9960418,
861.9439026,
861.8918893,
861.8400015,
861.7882388,
861.7366007,
861.6850867,
861.6336964,
861.5824294,
861.5312851,
861.4802632,
861.4293632,
861.3785845,
861.3279269,
861.2773899,
861.226973,
861.1766757,
861.1264977,
861.0764385,
861.0264977,
860.9766748,
860.9269695,
860.8773813,
860.8279098,
860.7785546,
860.7293151,
860.6801911,
860.6311822,
860.5822878,
860.5335076,
860.4848412,
860.4362882,
860.3878482,
860.3395207,
860.2913054,
860.2432019,
860.1952097,
860.1473286,
860.099558,
860.0518976,
860.0043471,
859.9569059,
859.9095738,
859.8623503,
859.815235,
859.7682277,
859.7213278,
859.6745351,
859.6278491,
859.5812696,
859.534796,
859.4884281,
859.4421654,
859.3960076,
859.3499545,
859.3040055,
859.2581602,
859.2124185,
859.1667798,
859.1212438,
859.0758102,
859.0304787,
858.9852488,
858.9401203,
858.8950928,
858.8501659,
858.8053392,
858.7606125,
858.7159854,
858.6714575,
858.6270285,
858.5826982,
858.5384661,
858.4943319,
858.4502953,
858.4063559,
858.3625135,
858.3187676,
858.2751179,
858.2315642,
858.1881062,
858.1447434,
858.1014756,
858.0583024,
858.0152236,
857.9722387,
857.9293475,
857.8865498,
857.8438451,
857.8012331,
857.7587136,
857.7162862,
857.6739507,
857.6317066,
857.5895539,
857.547492,
857.5055207,
857.4636398,
857.4218488,
857.3801476,
857.3385358,
857.2970131,
857.2555793,
857.214234,
857.1729769,
857.1318078,
857.0907264,
857.0497324,
857.0088254,
856.9680053,
856.9272717,
856.8866243,
856.8460629,
856.8055872,
856.7651968,
856.7248916,
856.6846713,
856.6445355,
856.604484,
856.5645166,
856.5246329,
856.4848327,
856.4451157,
856.4054816,
856.3659303,
856.3264613,
856.2870745,
856.2477696,
856.2085463,
856.1694044,
856.1303436,
856.0913636,
856.0524642,
856.0136452,
855.9749062,
855.9362471,
855.8976675,
855.8591672,
855.820746,
855.7824036,
855.7441398,
855.7059543,
855.6678469,
855.6298173,
855.5918652,
855.5539905,
855.5161929,
855.4784722,
855.440828,
855.4032602,
855.3657686,
855.3283529,
855.2910128,
855.2537481,
855.2165585,
855.179444,
855.1424042,
855.1054389,
855.0685478,
855.0317307,
854.9949875,
854.9583178,
854.9217215,
854.8851983,
854.8487479,
854.8123703,
854.7760651,
854.7398321,
854.7036711,
854.6675819,
854.6315643,
854.595618,
854.5597428,
854.5239386,
854.488205,
854.452542,
854.4169492,
854.3814264,
854.3459735,
854.3105902,
854.2752763,
854.2400317,
854.204856,
854.1697491,
854.1347109,
854.099741,
854.0648392,
854.0300055,
853.9952395,
853.960541,
853.9259099,
853.891346,
853.856849,
853.8224188,
853.7880551,
853.7537579,
853.7195267,
853.6853616,
853.6512622,
853.6172284,
853.58326,
853.5493567,
853.5155185,
853.4817451,
853.4480362,
853.4143919,
853.3808117,
853.3472956,
853.3138433,
853.2804548,
853.2471297,
853.2138679,
853.1806692,
853.1475335,
853.1144605,
853.0814501,
853.048502,
853.0156162,
852.9827924,
852.9500304,
852.9173301,
852.8846913,
852.8521138,
852.8195974,
852.787142,
852.7547473,
852.7224133,
852.6901397,
852.6579263,
852.625773,
852.5936797,
852.5616461,
852.5296721,
852.4977574,
852.465902,
852.4341057,
852.4023682,
852.3706895,
852.3390694,
852.3075076,
852.2760041,
852.2445586,
852.2131711,
852.1818413,
852.150569,
852.1193542,
852.0881966,
852.0570961,
852.0260526,
851.9950658,
851.9641356,
851.9332618,
851.9024444,
851.8716831,
851.8409778,
851.8103284,
851.7797346,
