Training Error 0.0001,Training Error 0.001,Training Error 0.01,Training Error 0.1
62.62832567,52.11454878,51.44549433,54.68933847
62.57357451,52.10937349,51.44545697,60.49001729
62.51935235,52.10425498,51.44542061,54.68933905
62.46565155,52.0991924,51.44538522,60.49002206
62.41246465,52.09418491,51.44535077,54.68933945
62.35978429,52.08923168,51.44531725,60.49002119
62.30760332,52.08433191,51.44528462,54.68933875
62.25591463,52.07948481,51.44525287,60.49001834
62.2047113,52.0746896,51.44522196,54.6893387
62.15398653,52.06994552,51.44519188,60.4900199
62.10373362,52.06525181,51.4451626,54.68933748
62.05394603,52.06060774,51.44513411,60.4900144
62.00461731,52.0560126,51.44510637,54.68933917
61.95574112,52.05146567,51.44507938,60.49002141
61.90731127,52.04696627,51.44505311,54.68934025
61.85932165,52.04251371,51.44502754,60.49002423
61.81176625,52.03810732,51.44500265,54.68934023
61.76463922,52.03374646,51.44497843,60.49002287
61.71793474,52.02943047,51.44495485,54.6893397
61.67164719,52.02515872,51.44493191,60.49002059
61.62577091,52.0209306,51.44490957,54.68933819
61.58030047,52.01674548,51.44488784,60.49001896
61.53523045,52.01260279,51.44486668,54.689339
61.49055561,52.00850192,51.44484609,60.49001995
61.4462707,52.00444231,51.44482605,54.68933881
61.40237063,52.00042339,51.44480654,60.49001822
61.35885041,51.9964446,51.44478756,54.68933941
61.31570504,51.99250539,51.44476908,60.49002257
61.27292968,51.98860523,51.44475109,54.68934006
61.23051956,51.9847436,51.44473358,60.4900237
61.18846998,51.98091997,51.44471655,54.68933956
61.14677633,51.97713383,51.44469996,60.49002176
61.10543409,51.97338469,51.44468382,54.68933888
61.06443879,51.96967205,51.44466811,60.49001854
61.02378604,51.96599543,51.44465282,54.68933917
60.98347153,51.96235437,51.44463794,60.49002183
60.94349098,51.95874839,51.44462345,54.6893397
60.90384026,51.95517703,51.44460935,60.49002279
60.86451526,51.95163985,51.44459563,54.68934059
60.82551192,51.9481364,51.44458228,60.49002445
60.78682627,51.94466624,51.44456928,54.68934053
60.74845439,51.94122895,51.44455662,60.49002253
60.71039247,51.93782411,51.44454431,54.68933839
60.6726367,51.9344513,51.44453232,60.49001576
60.63518336,51.93111012,51.44452066,54.68933965
60.59802882,51.92780017,51.4445093,60.49002557
60.56116941,51.92452106,51.44449825,54.68933995
60.5246016,51.92127241,51.44448749,60.49002203
60.48832191,51.91805382,51.44447702,54.6893398
60.45232691,51.91486492,51.44446683,60.49002103
60.41661318,51.91170536,51.44445691,54.68933817
60.38117741,51.90857475,51.44444726,60.490016
60.34601632,51.90547276,51.44443787,54.68933908
60.31112669,51.90239903,51.44442872,60.49002217
